ID	PrimaryID	Title	Characteristics	ProjectTitle	IUBUnit	IUBWorker	DateCompleted	IntScore	IntNotes	ContScore	ContNotes	RareScore	RareNotes	DocScore	DocNotes	TechScore	TechUnknown	TechNotes	GenerationStatement	GenerationNotes	IntellectualPropertyStatement	IntellectualPropertyNotes	GeneralNotes
16	SC 38	Lee Bailey Collection		Test Runs	3	13	6/6/12	3	"Fairly generic interviews and information intended to keep a wide audience up on hip hop and the activities of Black artists in the entertainment industry. Also includes commercials, etc. Hip-Hop Countdown was the first syndicated radio program on Hip-Hop. Growing interest in Black Radio."	2.5	"Short segments mixing music, interview clips, and commentary. Definitely polished as far as entertainment digests go, but the format probably would serve as a barrier to intense research or reusing content for production purposes."	4	"Since this is basic information on pop music artists, there is a high likelihood of duplication, particularly for Radioscope. However, Bailey says the series was created because of a lack of contemporary coverage of Black artists’s activities, particularly from a perspective that would interest black audiences. Also, the specific radio format is rare."	2.4	Weekly press releases for Radioscope; basic listing of main pieces/features from Radioscope; only hosts are known for Hip-Hop Countdown.	4.4	FALSE	"Radio airchecks, so aside for artifacts added by duplication to cassette, audio sounds very clean and is production quality."	first copy	Copy – existence of originals is unknown.		"""?"""	
22	061-007-F	"Indiana, Brown County; interviews and music, Donald Winkelman, 1960"	"Local narratives, stories, legends, tall tales, customs, traditions, beliefs, dance music &c."	Test Runs	7	13	6/28/12	4	"Subject of fairly high local interest (e.g., TAI).  Scholarly interest will be slight."	2	"Relatively low, small scale collecting foray, not in-depth project."	3.5	"? - In terms of Brown County, and also of the Midwest.  Check this."	3.5	Not in-depth project.  Transcriptions.	3.5	FALSE	Based on one clip.	original		Option 1	Narratives + probable public domain music.  Few barriers.	
28	ET Set 1	Faculty and Guest Recitals		Test Runs	2	13	7/12/12	4.5	Major priority of institution	4	Not all inclusive but good percentage.	4.8	Close to top because not many schools were recording then.	3.5	"Card catalog records, programs"	3	FALSE	Very good for lacquers	originals			"All recorded legitimately, recordings owned by IU."	
29	ET Set 2	School Ensembles		Test Runs	2	13	7/12/12	3.5		4		4.5		3.5		3	FALSE		originals			IU owns recordings	
30	ET set 3	Student Comp Recitals		Test Runs	2	13	7/12/12	4.2		4		4.8		3.5		3	FALSE		originals			IU owns recordings	
31	ET set 4	Major Student Ensembles including opera		Test Runs	2	13	7/12/12	3.8		4		4.5		3.5		3	FALSE		originals			IU owns recordings	
32	IU perf Opera Ballet VHS	IU performance opera and ballet VHS		Test Runs	2	13	7/12/12	3.8		4.5	presence of visuals enhances	3		3.5		2.5	FALSE		originals			owned by IU	
33	IU perf Other VHS	Other IU performances on VHS		Test Runs	2	13	7/12/12	4.7		4.5		4.8		3.5		2.5	FALSE		originals			Owned by IU	
34	SC 65	Dayton Funk Collection		Test Runs	3	13	9/5/12	4.4	"The collection consists primarily of interviews with internationally well-known Dayton Funk musicians, their relatives, teachers, and local business owners. Conducted by AAAMC staff for the exhibit Something in the Water: The Sweet Sound of Dayton Street Funk at the National Afro-American Museum and Cultural Center in Wilberforce, Ohio. Several researchers have made use of this collection for presentations and publications."	4	"Interviews are with significant members of the Dayton community (including the former mayor) and Dayton funk musicians (Zapp, Slave, Dayton, Ohio Players, Heatwave, etc.). Interviews are generally well done and interesting."	4.8	"Interviews were performed to address a dearth of information on the influence of Dayton as a middle-class Black community on its role as an unusual regional source for the rise of an intensely successful popular music scene and the influence of local culture on the lyrics and music. Possibly some overlap in other interviews with musicians, but mostly new information."	4.5	"Transcripts, article file, discography, research and production notes, ARSC paper by AAAMC staff member drawing together the materials with historical/contextual information."	2.2	FALSE	"Sonic quality rated from fair to good during creation of access transfers. About half of the recordings are undermodulated and exhibit considerable hiss. Some cassettes contained only hiss and noise in right channel and were converted to mono files. Still intelligible, but production value limited."		mostly originals		"Release forms from most interviewees on file at AAAMC, granting us rights for educational use."	
35	SC 75	Wade in the Water. Series 1. Radio Series		Test Runs	3	13	9/5/12	4	Radio series and commercial educator’s set on African American sacred music. Considerable value to K-12 and college educators and undoubtedly of interest to a more general audience. Probably of less value to researchers since these are the finished productions and not the raw interview recordings. Used occasionally for classes in ethno on African American music and culture.	3.8	"Interviews with/about prominent musicians and composers, well-select musical examples and well-constructed historical narrative."	4.4	"Educator’s box set was available for sale both as cassettes and CDs and owned by numerous institutions. Radio series seems to only be held by AAAMC, although a portion of the content (10%?) was used for the educator’s set. The information presented by the radio series, however, is intended to present a general introduction to the topic and most is probably readily available in other formats/sources."	3.5	"CD track/content lists created by AAAMC staff. Educator’s guide accompanying CD set provides contextual information, although not necessarily in relation to the specific items on the radio series tapes."	3.5	FALSE	"Created by NPR/Smithsonian for radio broadcast, so likely to be better than average. Sound quality rated as “Good” during access transfers with mild hiss, print through, and some minor distortion on a few cassettes."		copies		Rights not transferred to AAAMC. Commercial radio broadcast containing copyright content.	
36	SC 110	William Banfield Collection		Test Runs	3	13	9/5/12	3.8	"The collection consists primarily of Interviews conducted by Banfield with prominent Black composers (jazz and classical) for use in his book, Musical Landscapes in Color: Conversations with Black American Composers. Most likely of interest to anyone researching these composers or the role and perspectives of African Americans composers."	3.8	"Interviews are well done, lengthy, and thoroughly explore the topic. Most, if not all, of the interviewees are prominent in their field"	4	"Although significant, there are unlikely to be multiple recorded interviews with many of these informants, so it seems safe to say that most of the content will be unique."	3.8	Majority of interviews are accompanied by transcripts. No additional documentation.	3.5	FALSE	"Technical quality unknown. Audio was used for a three part radio series (cass 2364—2385), so presumed to be intelligible with decent production/aesthetic value despite being recorded on cassette."		Original.		Some release forms for interviews on file.	
37	SC 131	Susan Oehler Collection		Test Runs	3	13	9/5/12	2.4	"Primarily documents blues performance—particularly from the perspectives of club managers and audience members—In both black and white cultural settings including Bloomington, Chicago, and to some extent Indy. Potentially of some interest to those researching Bloomington businesses and music scene because of interviews with local club owners and radio personnel. Also includes interviews with a few notable blues musicians, audiences, as well as guest lectures, performances, and radio broadcasts. Also a few recordings of lectures and festivals in Ghana. Would score lower if not for Bloomington content."	2.4	"Tapes created as part of dissertation research. Oehler’s interviews are okay and contain some interesting details, but are not stellar. Emphasis is much more on an ethnographic study of racial issues surrounding the interaction of blues performers, audience members, and club owners within Chicago, Bloomington, and Indiana."	3.4	"Possibly copies of the radio programs, lectures, and performances, but interviews should mostly be unique."	3.5	"Transcripts, faxes, email messages, dissertation, and interview with donor about collection are all available. Many of the transcripts are summarized and incomplete, depending on what the researcher found important to her research. The nature of the editing makes the transcripts on their own less valuable, since they would need to be thoroughly compared to the audio, but even the most skeletal still function as rudimentary content listings."	3	FALSE	"Unknown. Cassette recordings made for first field research project, often of live performances, so probably of moderate quality."		Probably originals.		"Entire collection restricted and permission must be grant by donor before making copies. Rights for performances, lectures, and broadcasts not cleared by donor (or clearance undocumented)."	
38	SC 137	Craig Werner Collection		Test Runs	3	13	9/5/12	4	"Taped interviews with R&B/rock musicians created as part of the donor’s research for his published published monographs. Includes Bobby Womack, Eddie Thomas, and CCR member interviews, the latter of which demonstrate the influence of black music on CCR. Given the fame of the interviewees, potentially of widespread interest. One transferred item had historically significant content related to Curtom Records, Curtis Mayfield, and the Chicago Music Scene."	3.2	"Not enough tapes to present a really thorough examination of any particular topic. The content of only one tape is known, which does include valuable historical information."	3.2	Numerous other interviews have been performed with Bobby Womack and John Fogerty; not so many with Eddie Thomas and other CCR members. Unsure how much content/information overlaps with these other interviews and whether it is available through other sources.	1	Rudimentary labels on tapes.  No other documentation unless resulting publications considered.	2	FALSE	One transferred microcassette was a phone interview recorded at 15/16 ips. Sonic quality poor to fair with sever clarity problems and distortion to the point that the interview was almost unintelligible at points. Mainly assigning a 2 because unsure if this is true of the rest of the tapes.		"Probably originals given the format (i.e., not common to copy onto microcassettes because of the nature of the equipment), but unknown."		No transfers of rights or release forms to AAAMC.	
39	DAAP	Digital Audio Archiving Project	Pulled between 2004 and 2006 as top priority but not yet digitized.	Test Runs	2	13	9/10/12	4.8	Chosen by previous project	4		4.8		3.5		4.5	FALSE	At top of open reel potential.		originals		made by music school	
40	CompFaculty OR	Composition Faculty Open Reel	"Often one-of-a-kind, only time compositions recorded"	Test Runs	2	13	9/10/12	4.6		4.5	Factoring in composition quality	4.9	Most unique performances	3.5		4.5	FALSE	open reel fixed variable		originals		made by music school.	
41	Jazz	Jazz Open Reel	"Faculty/student compositions mixed in, each performance arguably a unique ""work,"" but some standards"	Test Runs	2	13	9/10/12	4.55	Midway between comp faculty and faculty/guest recitals	4.5	Factoring in composition quality	4.85	Between DAAP and comp faculty	3.5		4.5	FALSE						
42	CompFaculty DAT	Composition Faculty DAT		Test Runs	2	13	9/10/12	4.6		4.5		4.9		3.5		3.8	FALSE			original		made by music school	
43	IU Perf Other DVD	Other IU performances on DVD		Test Runs	2	13	9/10/12	4.7		4.5		4.8		3.5		3.4	FALSE			original		made by music school	
44	IU Perf Other DV	Other IU performances on DV tape		Test Runs	2	13	9/10/12	4.7		4.5		4.8		3.5		4.3	FALSE			original		made by music school	
45	IU perf Opera Ballet DV	IU performance opera and ballet on DV tape		Test Runs	2	13	9/10/12	3.8		4.5		3		3.5		4.3	FALSE			original		made by music school	
46	IU perf Opera Ballet DVD	IU performance opera and ballet on DVD		Test Runs	2	13	9/10/12	3.8		4.5		3		3.5		3.4	FALSE			original		made by music school	
47	2004/085	John Cooper Papers	"John M. Cooper in sports biomechanics -- majority, instructional material.  No list."	Test Runs	1	13	9/10/12	3	Assorted sporting event snippets used for teaching biomechanics.  Assumption: IU-related content.	2	Severe limitations.  Don't know how Cooper analyzed it.	2	Fairly common.	1	Minimal info on film cans only.		TRUE			some originals		"mixed, some NCAA, other schools etc."	
48	2011/082	Robert Arnold Papers	"Interview tapes, for book ""Hoosier Autumn"" about 1945 IU football team, in 1994-95."	Test Runs	1	13	9/10/12	4	"Much interest in IU sports, big football year, high interest, big names on team."	3	"Just part of the story, not thorough."	4	Any oral history is rare.	3.5	All identified quite well.  Transcript of Pihos interview.	2.4	FALSE	Based on microcassette format.		originals		belongs to interviewer and interviewee	
49	2012/003	"Biology Department, Joan Wood Lecture Series"		Test Runs	1	13	9/10/12	3	"Lectures by female biologists, career paths, life lessons.  Documents IU series."	3	Missing earliest years.  Seems complete for 1995 to 2004.	3.4	Probably little comparable material exists.	3.4	"Each tape is well documented, adequate."		TRUE			"appears mixed, some originals"		presenters probably have rights in it	
50	2011/127	"School of Education, Office of Communications and Public Relations"	"Press conferences, seminars, groundbreaking ceremonies, variety of events."	Test Runs	1	13	9/10/12	3.3	Activities of School of Education.	3	"Smattering, sample, not thorough -- we lost a lot from them."	3.3	Not much saved from School of Education.	3	Basic; only information on the tapes.		TRUE			originals and dubs		mix of IU and personal for which we have no deeds	
51	ohrc028	"Claude Barnett and the Associated Negro Press, 1976-1977"		First 5 Yr Prioritization	10	13	10/8/12	4.5	"Work at Associated Negro Press, source of info about their world, experiences, news"	3.5	People knew him and worked with him -- CHECK Lawrence D. Hogan interviewer	4.5	"Oral history interviews, no others of which we're aware, nobody else has their voices"	4	"All transcribed, plus alleged 77 pages of Ernest E. Johnson letters."		TRUE	Transcribed	Originals		Open		
52	ohrc017	"Biography: J. Edward Roush, 1969"		First 5 Yr Prioritization	10	13	10/8/12	3	"Roush career (political history), used perhaps once"	4.4	Roush himself and two associates.	4	"As a public figure, probably interviewed more than once.  CHECK Roush, Kathleen McKinzie"	3.4	Transcripts but no other content.		TRUE	Transcribed	Original		Open		
53	ohrc103	"William E. Jenner and Indiana Politics, 1971-1974"		First 5 Yr Prioritization	10	13	10/8/12	3.4	"Indiana Republican political mechanisms/history 1920s-1960s, not much traffic"	4	Interesting	4.2	"Things not written about ordinarily, behind-the-scenes stuff."	3.4	Transcripts but no other content.		TRUE	Transcribed	Original		Open		
54	93/005	Pro & Con tapes & transcripts	"Weekly show that ran 3-4 years, with Ehrlich as questioner"	First 5 Yr Prioritization	1	13	10/12/12	3.4	"Ehrlich as president with IU faculty, references to local research, very prominent faculty, relevant topics."	4	Complete run of the program.	5	Nobody else will have this.  Other sources would give similar insight.	4.5	"List of shows, also transcripts"	3	FALSE	"Probably pretty good, WTIU dubs"		copies; do originals still exist at WTIU		"Unless speakers signed waiver, they own portion of copyright."	
55	C289	"Richard M. Dorson papers, 1940-1980, bulk 1962-1977"	"Had students do projects, project-driven interviews."	First 5 Yr Prioritization	1	13	10/12/12	3	Indiana history and vernacular culture.	3	"Not large, selective."	4	"Much information won't be in written record, adds knowledge, nothing else will substitute."	2.5	"Minimal documentation on tapes, but part of larger collection, and another collection with Gary material."		TRUE	May be transcriptions at Lilly.		"Many say ""copy."""		"As with any oral history, complications."	Curatorial review will likely boost this one.
56	C479	"International Studies in Schools records, 1995-2005"	"Early attempts at distance education in internatl field, Patrick O'Meara, broadcast to US schools"	First 5 Yr Prioritization	1	13	11/9/12	3	Distance ed a blip but has value from IU perspective;  plus subject matter (similar to oral history)	3.5	Distance ed program - looks comprehensive.	4.8	"Won't be found anywhere else, so very rare."	3.8	Administration and program files.		TRUE			Originals		"Students involved -- unless signed a waiver, classroom productions are involved."	One of PB's favorite collections.
57	ohrc018	"Biography: John Hurt, 1985-1986"	Political insider	First 5 Yr Prioritization	10	13	10/17/12	3.4	Same as Jenner	4	"Unique, colorful, frank."	4.2	Same as Jenner	2.4	"Three transcribed out of five.  Photographs, biographical sketch, letter."		TRUE		Originals			"One is closed for ten years after death of Jack New, John Hurt -- not sure if this has happened yet."	
58	ohrc014	"Biography: Helen Gahagan Douglas, 1973-1983"	"Wife of Melvyn Douglas, actress, and politician (ran against Nixon), fighting Hollywood blacklist &c"	First 5 Yr Prioritization	10	13	10/17/12	4.8	"Hollywood, national and California politics, not much use"	4.5	Very high.	4.2	"Public figure, source of book, but would need to use this."	2.4	"Book based on them, finding aid, some transcripts not indexed, some not transcribed, no complementary information"		TRUE		Originals			Some restricted -- interviewee must be contacted prior to use.	"Source of biography, Center Stage, Ingrid Scobie."
59	ohrc021	"Biography: Melvyn Douglas, 1972-1980"	Acting career + political activism.	First 5 Yr Prioritization	10	13	10/17/12	4.5	"Less about politics than previous one, more about Hollywood system."	4.5	"Read some of them -- very interesting.  Scope of people, depth of interviews."	4.4	"Maybe a little more rare than Helen Gahagan Douglas.  Craft, politics of acting."	3.2	"Some are transcribed, a few have photos."		TRUE	Almost all transcribed.	Originals		Open	A couple not for commercial use.	"Source of biography of him, but don't know the name, by Thomas H. Arthur.  One of unit's larger collections."
60	ohrc053	"History of Indiana University, 1968-1981"	"Covers first half of century, students, faculty, administrators, staff, growth of university, etc"	First 5 Yr Prioritization	10	13	10/24/12	5	"If you're interested in IU, it was the basis of Thomas Clark's book, steady use (mainly high ranking officials)"	4.9	"Complete, comprehensive."	4.9	Very rare for its breadth.	3.4	Transcripts but not indexed. Occasional photograph.		TRUE	All transcribed	Originals		Open		
61	ohrc041	"Economic History of Indiana in the Twentieth Century, 1976-1980"	"Another major stream in coverage -- business economics labor, all over state"	First 5 Yr Prioritization	10	13	10/24/12	4	Wide-ranging and many implications.  Hasn’t gotten as much use as we'd think it should.	4	"Long, broad interviews, though less focused"	4.8	Pretty high.  Many of these people have no records otherwise.	3.3	"Occasional photograph, a couple (small fraction) not transcribed."		TRUE	A few aren't transcribed.	Originals		Open		
